source_route,element,attribute,label,raw_url,resolved_url,type,status,final_url,fragment,target_route,owner
"/404/","a","href","Operating model","company/operating-model/","https://hardmagic.com/company/operating-model/","internal","ok","https://hardmagic.com/company/operating-model/","","/company/operating-model/","route-owner"
"/404/","a","href","Partners","company/partners/","https://hardmagic.com/company/partners/","internal","ok","https://hardmagic.com/company/partners/","","/company/partners/","route-owner"
"/404/","a","href","Careers","company/careers/","https://hardmagic.com/company/careers/","internal","ok","https://hardmagic.com/company/careers/","","/company/careers/","route-owner"
"/404/","a","href","Responsible AI","responsible-ai/","https://hardmagic.com/responsible-ai/","internal","ok","https://hardmagic.com/responsible-ai/","","/responsible-ai/","route-owner"
"/404/","a","href","Security","security/","https://hardmagic.com/security/","internal","ok","https://hardmagic.com/security/","","/security/","route-owner"
"/404/","a","href","Accessibility","accessibility/","https://hardmagic.com/accessibility/","internal","ok","https://hardmagic.com/accessibility/","","/accessibility/","route-owner"
"/404/","a","href","Privacy","privacy/","https://hardmagic.com/privacy/","internal","ok","https://hardmagic.com/privacy/","","/privacy/","route-owner"
"/404/","a","href","Advisory intake Route a consequential decision","services/executive-advisory/","https://hardmagic.com/services/executive-advisory/","internal","ok","https://hardmagic.com/services/executive-advisory/","","/services/executive-advisory/","route-owner"
"/404/","a","href","Creative direction","contact/creative-direction/","https://hardmagic.com/contact/creative-direction/","internal","ok","https://hardmagic.com/contact/creative-direction/","","/contact/creative-direction/","route-owner"
"/404/","a","href","GenAI","contact/genai/","https://hardmagic.com/contact/genai/","internal","ok","https://hardmagic.com/contact/genai/","","/contact/genai/","route-owner"
"/404/","a","href","Media management","contact/media-management/","https://hardmagic.com/contact/media-management/","internal","ok","https://hardmagic.com/contact/media-management/","","/contact/media-management/","route-owner"
"/404/","a","href","Start a conversation","contact/","https://hardmagic.com/contact/","internal","ok","https://hardmagic.com/contact/","","/contact/","route-owner"
"/404/","a","href","View all company →","company/","https://hardmagic.com/company/","internal","ok","https://hardmagic.com/company/","","/company/","route-owner"
"/404/","a","href","Enterprise advisory","contact/","https://hardmagic.com/contact/","internal","ok","https://hardmagic.com/contact/","","/contact/","route-owner"
"/404/","a","href","Return to HardMagic","./","https://hardmagic.com/","internal","ok","https://hardmagic.com/","","/","route-owner"
"/404/","a","href","HardMagic home","./","https://hardmagic.com/","internal","ok","https://hardmagic.com/","","/","route-owner"
"/404/","img","src","HardMagic","/assets/hardmagic-wordmark.3FJu5chC.svg","https://hardmagic.com/assets/hardmagic-wordmark.3FJu5chC.svg","asset","asset-ok","https://hardmagic.com/assets/hardmagic-wordmark.3FJu5chC.svg","","/assets/hardmagic-wordmark.3FJu5chC.svg/","site-build"
"/404/","a","href","Executive advisory","services/executive-advisory/","https://hardmagic.com/services/executive-advisory/","internal","ok","https://hardmagic.com/services/executive-advisory/","","/services/executive-advisory/","route-owner"
"/404/","a","href","Engagement models","engagements/","https://hardmagic.com/engagements/","internal","ok","https://hardmagic.com/engagements/","","/engagements/","route-owner"
"/404/","a","href","Transformation sprint","engagements/transformation-sprint/","https://hardmagic.com/engagements/transformation-sprint/","internal","ok","https://hardmagic.com/engagements/transformation-sprint/","","/engagements/transformation-sprint/","route-owner"
"/404/","a","href","Explore executive advisory","services/executive-advisory/","https://hardmagic.com/services/executive-advisory/","internal","ok","https://hardmagic.com/services/executive-advisory/","","/services/executive-advisory/","route-owner"
"/404/","a","href","Technical briefs","briefs/","https://hardmagic.com/briefs/","internal","ok","https://hardmagic.com/briefs/","","/briefs/","route-owner"
"/404/","a","href","Generative media operating system","briefs/generative-media-operating-system/","https://hardmagic.com/briefs/generative-media-operating-system/","internal","ok","https://hardmagic.com/briefs/generative-media-operating-system/","","/briefs/generative-media-operating-system/","route-owner"
"/404/","a","href","Intelligent media asset estate","briefs/intelligent-media-asset-estate/","https://hardmagic.com/briefs/intelligent-media-asset-estate/","internal","ok","https://hardmagic.com/briefs/intelligent-media-asset-estate/","","/briefs/intelligent-media-asset-estate/","route-owner"
"/404/","a","href","Latest insights","insights/","https://hardmagic.com/insights/","internal","ok","https://hardmagic.com/insights/","","/insights/","route-owner"
"/404/","a","href","Horizon 2035","horizon/","https://hardmagic.com/horizon/","internal","ok","https://hardmagic.com/horizon/","","/horizon/","route-owner"
"/404/","a","href","Methods","methods/","https://hardmagic.com/methods/","internal","ok","https://hardmagic.com/methods/","","/methods/","route-owner"
"/404/","a","href","WireMark","products/wiremark/","https://hardmagic.com/products/wiremark/","internal","ok","https://hardmagic.com/products/wiremark/","","/products/wiremark/","route-owner"
"/404/","a","href","HardMagic Studio","products/studio/","https://hardmagic.com/products/studio/","internal","ok","https://hardmagic.com/products/studio/","","/products/studio/","route-owner"
"/404/","a","href","HardMagic Agent (CLI)","products/cli/","https://hardmagic.com/products/cli/","internal","ok","https://hardmagic.com/products/cli/","","/products/cli/","route-owner"
"/404/","a","href","Web Magic","products/web-magic/","https://hardmagic.com/products/web-magic/","internal","ok","https://hardmagic.com/products/web-magic/","","/products/web-magic/","route-owner"
